YLR363C	GO:0005737;GO:0006401;GO:0005634;GO:0003674
YEL077W-A	GO:0005575;GO:0008150;GO:0003674
YDR179C	GO:0000746;GO:0005634;GO:0070647;GO:0003674;GO:0042221;GO:0023052
YML089C	GO:0005575;GO:0008150;GO:0003674
YLR431C	GO:0005737;GO:0007033;GO:0016020;GO:0006605;GO:0003674;GO:0070925
YKR046C	;GO:0045333;GO:0006091;GO:0003674
YJR005W	GO:0005737;;GO:0031410;GO:0016020;GO:0030427;GO:0003674;GO:0012505;GO:0005886;GO:0005933
YJL116C	GO:0005737;GO:0005773;GO:0003674;GO:0007005
YER030W	GO:0006325;GO:0005634;GO:0042393
YHR041C	GO:0042221;GO:0005634;GO:0006366;GO:0006352;GO:0000988
YJR072C	GO:0005737;GO:0016787;GO:0051169;GO:0000278;GO:0005634;GO:0003924;GO:0006605;GO:0048285;GO:0016887;GO:0007059
YEL030C-A	GO:0005575;GO:0008150;GO:0003674
YKR039W	GO:0005737;GO:0006865;GO:0005783;GO:0005773;GO:0031410;GO:0006811;GO:0016020;GO:0022857;GO:0012505;GO:0005886
YGL003C	GO:0005737;GO:0051603;GO:0007010;GO:0000278;GO:0051726;GO:0005634;GO:0033043;GO:0070647;GO:0048285;GO:0031399;GO:0007059;GO:0030234
YPL009C	GO:0005737;GO:0051603;GO:0005840;GO:0003723;GO:0006417;GO:0006414;GO:0003729
YDR268W	GO:0005737;GO:0006520;GO:0005739;GO:0006418;GO:0016874;GO:0032543;GO:0007005
YGL192W	GO:0005737;GO:0007124;GO:0051321;GO:0009451;GO:0016740;GO:0048285;GO:0008168
YDL117W	GO:0005737;GO:0005856;GO:0000278;GO:0005634;GO:0030427;GO:0005938;GO:0000910;GO:0030234;GO:0005933
YMR131C	;GO:0005634;GO:0051082;GO:0005730
YMR293C	GO:0005737;GO:0006520;GO:0016020;GO:0005739;GO:0005740;GO:0016874
YJL214W	GO:0022857;GO:0016020;GO:0008643;GO:0005886
YIL105C	GO:0005737;GO:0016197;GO:0007010;GO:0016020;GO:0008289;GO:0005739;GO:0043167;GO:0023052;GO:0005886
YML126C	GO:0005634;GO:0016740;GO:0006629
YLR189C	GO:0005737;GO:0051321;GO:0006629;GO:0043934;GO:0016740;GO:0016757
YIL150C	GO:0006310;GO:0006281;GO:0006325;GO:0005634;GO:0006974;GO:0006260;GO:0003677;GO:0005694
YLR349W	GO:0005575;GO:0008150;GO:0003674
YGL250W	GO:0005737;GO:0006310;GO:0051321;GO:0005634;GO:0003674;GO:0048285
YBR212W	GO:0005737;GO:0006417;GO:0003723;GO:0007005;GO:0003729
YJR109C	GO:0005737;GO:0006520;GO:0016874
YLR254C	GO:0005737;GO:0005856;GO:0005634;;GO:0008092
YGR085C	GO:0005737;GO:0042273;GO:0005840;GO:0042255;GO:0005198;GO:0003735;GO:0002181;GO:0070925
YPL105C	GO:0005737;GO:0006997;GO:0005840;GO:0016020;GO:0005739;GO:0003674
tD(GUC)M	GO:0005737;GO:0006414;GO:0003723;GO:0030533
YGR145W	GO:0005634;GO:0042274;GO:0003674;GO:0006364;GO:0005730
YGR110W	GO:0005737;GO:0016787;GO:0006629;GO:0016020;GO:0005739;GO:0005740
tD(GUC)O	GO:0005737;GO:0006414;GO:0003723;GO:0030533
YKL177W	GO:0005575;GO:0008150;GO:0003674
YGL154C	GO:0005737;GO:0016740;GO:0006520
tK(UUU)Q	GO:0005737;GO:0030533;GO:0005739;GO:0003723;GO:0006414;GO:0032543;GO:0007005
tK(UUU)P	GO:0005737;GO:0006414;GO:0003723;GO:0030533
tK(UUU)O	GO:0005737;GO:0006414;GO:0003723;GO:0030533
YBR129C	GO:0005737;GO:0008150;GO:0003674;GO:0005739
tK(UUU)K	GO:0005737;GO:0006414;GO:0003723;GO:0030533
tK(UUU)D	GO:0005737;GO:0006414;GO:0003723;GO:0030533
YDL215C	GO:0005737;;GO:0005739;GO:0016491
YKL099C	GO:0005634;GO:0042274;GO:0003674;GO:0006364;GO:0005730
YDR315C	GO:0006401;GO:0005634;GO:0016301;GO:0016740
YLR394W	GO:0006310;GO:0051321;GO:0005634;GO:0070647;GO:0018193;GO:0016740;GO:0048285;GO:0007059;GO:0003682;GO:0005694
YNL104C	GO:0005737;GO:0016740;GO:0006520;GO:0005739
YNL151C	GO:0005634;GO:0016740;GO:0006383;GO:0016779;GO:0006352
YNR066C	GO:0005737;GO:0005773;GO:0016020;GO:0003674;GO:0008150
YLR220W	GO:0005737;GO:0005794;GO:0005773;GO:0006811;GO:0016020;GO:0006873;GO:0022857;GO:0012505
YHR006W	GO:0005737;GO:0005634;GO:0006366;GO:0001071;GO:0003677
YMR232W	GO:0005737;GO:0006997;GO:0000746;GO:0000902;GO:0005634;GO:0030427;GO:0005739;GO:0003674;GO:0042221;GO:0048284
YNL083W	GO:0005737;GO:0015931;GO:0006811;GO:0016020;GO:0022857;GO:0005739;GO:0043167;GO:0005740
YER168C	GO:0005737;GO:0016779;GO:0008033;GO:0005634;GO:0005739;GO:0016740
YPL265W	GO:0005737;GO:0006865;GO:0005773;GO:0006811;GO:0016020;GO:0022857;GO:0005886
YOR227W	GO:0005737;;GO:0003674;GO:0005840;GO:0005739
YOR081C	;GO:0016787;GO:0016740;GO:0006629
YEL026W	GO:0005730;GO:0005634;GO:0042274;GO:0006364;GO:0003723;GO:0008380;GO:0006397
YGR050C	GO:0005575;GO:0008150;GO:0003674
YDR021W	GO:0016787;GO:0005730;GO:0005634;GO:0042274;GO:0004386;GO:0006364;GO:0016887
YGL063W	GO:0005737;GO:0008033;GO:0016853;GO:0005739;GO:0009451
YPL212C	GO:0008033;GO:0016853;GO:0005634;GO:0009451;GO:0003723;GO:0003729
YOL157C	GO:0005575;GO:0016787;GO:0005975;GO:0016798;GO:0009311
YOR345C	GO:0005575;GO:0008150;GO:0003674
YPR095C	GO:0005737;GO:0005794;GO:0006887;GO:0048193;GO:0016020;GO:0005085;GO:0005739;GO:0006605;GO:0023052;GO:0012505
YOR310C	GO:0042274;GO:0005634;GO:0005730;GO:0006364;GO:0003723;GO:0003729
YDR188W	GO:0005737;GO:0006457;GO:0051082
YAL027W	GO:0006974;GO:0005634;GO:0006281;GO:0051052;GO:0003677
YGL236C	GO:0005737;GO:0008033;GO:0005739;GO:0009451;GO:0003674;GO:0007005
YHR133C	GO:0005737;GO:0005783;GO:0005634;GO:0016020;GO:0051082;GO:0012505;GO:0006629
YDR017C	GO:0005737;GO:0016740;GO:0016301;GO:0005975
YIL090W	GO:0005737;GO:0006997;GO:0051169;GO:0007010;GO:0005783;GO:0070271;GO:0048308;GO:0016020;GO:0006873;GO:0006605;GO:0003674;GO:0005938;GO:0070925;GO:0012505
YBR183W	GO:0005737;GO:0016787;GO:0006629;GO:0005783;GO:0016020;GO:0016798;GO:0016740;GO:0005938;GO:0012505
YOL048C	GO:0051321;GO:0005618;GO:0016020;GO:0043934;GO:0071554;GO:0003674
YCR007C	GO:0005737;GO:0005773;GO:0003674;GO:0008150
YDR016C	GO:0007010;GO:0070271;GO:0005634;GO:0008092;GO:0033043;GO:0051726;GO:0007059;GO:0005694
YEL004W	GO:0005737;GO:0015931;GO:0005975;GO:0005783;GO:0006811;GO:0016020;GO:0071554;GO:0022857;GO:0012505;GO:0055085
YPR057W	GO:0005634;GO:0006397;GO:0003723;GO:0008380
YLL032C	GO:0005737;GO:0003729;GO:0008150;GO:0005840;GO:0003723
YDR116C	GO:0005737;GO:0005840;GO:0005739;GO:0005198;GO:0003735;GO:0032543;GO:0007005
YPL119C-A	GO:0005575;GO:0008150;GO:0003674
YHR130C	GO:0005575;GO:0008150;GO:0003674
YLR030W	GO:0005575;GO:0008150;GO:0003674
YDR122W	GO:0006468;GO:0006887;GO:0016020;GO:0016740;GO:0016301;GO:0005886
YOL062C	GO:0005737;;GO:0031410;GO:0016020;GO:0012505;GO:0005886
YNL234W	GO:0005737;GO:0005773;GO:0016020;GO:0008150;
YLR467W	GO:0006310;GO:0016787;GO:0005634;GO:0032200;GO:0004386
YJL194W	GO:0005737;GO:0016787;GO:0000278;GO:0006325;GO:0005634;GO:0003924;GO:0043167;GO:0006260;GO:0016887;GO:0003677;GO:0003682;GO:0051052
YOL015W	GO:0008150;GO:0016020;GO:0003674
YDL070W	GO:0042393;GO:0033043;GO:0006325;GO:0005634;GO:0003677;GO:0008134
YOR241W	GO:0005737;;GO:0005783;GO:0005739;GO:0012505;GO:0016874
YLR056W	GO:0005737;GO:0006629;GO:0016020;GO:0012505;GO:0005783;GO:0016491
